DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2130476956197792128,10065429,287.53931,47.078908,13.2115,0.899364,2.2147087,-4.3686971,-8.3090544,-42.932710,9.8901878,5.39000,-59.6197,3.96026,5584.45,19.7045,4.39828,0.0394519,0.122172,0.0278500,0.0328598,0.0113830
Gaia DR2 2130475474428666624,10065555,287.60596,47.019209,11.7037,0.624207,2.0137869,-4.6444148,-15.690850,-3.4075457,3.1036703,2.22600,-8.16035,4.61980,6509.28,18.4380,4.23731,0.0333644,-0.118797,0.0317210,0.0242927,0.0136883
Gaia DR2 2130465651843853696,10065745,287.70218,47.078386,15.8083,2.32124,4.9973478,-0.064071696,-19.924544,0.0000000,NaN,2.08000,88.8465,3.02491,4132.49,86.5625,4.13589,0.263887,-1.24003,0.154254,0.228266,0.0936092
Gaia DR2 2130464925988986880,10065923,287.79263,47.047630,12.0438,0.783356,1.4683209,-10.833556,-16.351655,-25.656820,0.98568806,17.8650,-23.8995,4.65877,5874.71,19.9838,3.82939,0.0429206,-0.109580,0.0314110,4.50878e-05,0.0146996
Gaia DR2 2130465273884540672,10065928,287.79583,47.070696,14.0850,1.13154,3.2781213,-13.034173,-19.632478,0.0000000,NaN,25.0750,-3.09985,4.79968,5055.97,30.7111,4.79394,0.0581404,-0.175984,0.0414735,0.0596546,0.0183936
Gaia DR2 2130465273886634240,10065928,287.79545,47.070878,14.4875,NaN,2.5401960,-9.2640693,-13.283209,0.0000000,NaN,25.0750,-3.09985,4.79968,5055.97,30.7111,4.79394,0.0581404,-0.175984,0.0414735,0.0596546,0.0183936
Gaia DR2 2130464483612640768,10065957,287.81247,47.007744,13.6173,0.890296,0.76643269,2.8727268,-2.4042832,0.0000000,NaN,33.0310,-45.5505,4.70974,5631.12,22.6662,3.86822,0.0504162,-0.0742632,0.0333980,0.0239556,0.0165403
Gaia DR2 2130837080615126912,10066179,287.93097,47.038732,12.5226,0.685808,0.98898008,-2.5665070,7.5319878,-67.674810,3.4688205,5.00700,-75.9704,5.01853,6271.49,17.3973,3.96716,0.0381682,-0.200281,0.0340580,0.124730,0.0138373
Gaia DR2 2130836496499590528,10066359,288.01816,47.021080,15.1940,1.26652,1.8349730,-2.0056793,-23.325094,0.0000000,NaN,33.3650,30.2401,3.72942,4797.47,27.8526,4.73977,0.0499679,-0.166722,0.0372960,0.0737151,0.0163089
Gaia DR2 2130802239840624896,10067606,288.65432,47.074831,15.7874,1.28302,0.92244112,-2.1323890,-1.5877387,0.0000000,NaN,33.7110,4.73073,5.24937,4827.58,47.5477,4.64220,0.0912597,-0.240409,0.0590019,0.0624089,0.0280125
